symbol,marketCap,ipoYear,sector,industry,date,open,high,low,close,volume,adjclose
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-11-11,4.9,4.95,4.8,4.95,76300,4.95
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-11-10,5.35,5.35,4.77,4.9,180800,4.9
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-11-09,5.12,5.51,4.97,5.51,40700,5.51
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-11-08,5.3,5.35,5.08,5.15,8900,5.15
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-11-07,5.01,5.29,5.01,5.25,15800,5.25
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-11-04,5.17,5.17,4.95,4.97,9600,4.97
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-11-03,5.11,5.11,4.95,4.96,8900,4.96
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-11-02,5.06,5.13,4.94,5.07,12000,5.07
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-11-01,5.37,5.37,5.05,5.05,15300,5.05
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-31,5.23,5.23,4.94,5.18,25700,5.18
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-28,5.06,5.09,4.97,5.02,10500,5.02
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-27,4.96,5.07,4.96,5.01,14100,5.01
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-26,5.03,5.04,4.97,5.02,12900,5.02
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-25,5.16,5.16,5.07,5.11,7000,5.11
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-24,5.15,5.17,5.02,5.09,20600,5.09
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-21,5.1,5.15,5.07,5.09,5800,5.09
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-20,5.16,5.24,5.14,5.16,10800,5.16
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-19,5.08,5.19,5.08,5.17,4700,5.17
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-18,5.2,5.23,5.08,5.12,21200,5.12
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-17,5.17,5.25,5.16,5.2,19500,5.2
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-14,5.3,5.31,5.26,5.28,13900,5.28
ABCD,$220.4M,-1,Consumer Services,Publishing,2016-10-13,5.37,5.37,5.31,5.32,5700,5.32
